Hit_res,Multi_scatter,mean,rms,n
0.0,0.0,1.0,0.0,3
0.0,0.0002,0.9766666666666667,0.011242281302693356,3
0.0,0.0004,0.7733333333333334,0.03299831645537225,3
0.0,0.0006000000000000001,0.5133333333333333,0.017360555546666375,3
0.0,0.0008,0.36833333333333335,0.06599663291074444,3
0.0,0.001,0.17,0.01968501968502953,3
0.0006000000000000001,0.0,1.0,0.0,3
0.0006000000000000001,0.0002,0.9725,0.019472202409246516,3
0.0006000000000000001,0.0004,0.795,0.004082482904638634,3
0.0006000000000000001,0.0006000000000000001,0.5766666666666667,0.02064918615560645,3
0.0006000000000000001,0.0008,0.3341666666666667,0.02953340857778225,3
0.0006000000000000001,0.001,0.20000000000000004,0.030618621784789732,3
0.002,0.0,1.0,0.0,3
0.002,0.0002,0.98,0.005400617248673204,3
0.002,0.0004,0.7600000000000001,0.018708286933869726,3
0.002,0.0006000000000000001,0.5166666666666667,0.02124591463996991,3
0.002,0.0008,0.3558333333333334,0.04496912521077346,3
0.002,0.001,0.2041666666666667,0.011606990230986764,3
0.004,0.0,0.9941666666666666,0.0023570226039551605,3
0.004,0.0002,0.9391666666666666,0.006561673228343172,3
0.004,0.0004,0.7308333333333333,0.01047483757498045,3
0.004,0.0006000000000000001,0.48,0.021505813167606563,3
0.004,0.0008,0.35250000000000004,0.042866070498705604,3
0.004,0.001,0.21833333333333335,0.011242281302693367,3
