ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0.0004,0,0.0,1.999999333368585e-06
0.027027027027027,0.0,0.9,0.8989898989898991,1.0,37,40,[6],0,0.002,0.0004,0,0.01,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0.0004,0,0.02,1.999999333368585e-06
0.025641025641025002,0.0,0.9500000000000001,0.9500000000000001,1.0,39,40,[19],0,0.002,0.0004,0.001,0.0,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0.0004,0.001,0.01,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0.0004,0.001,0.02,1.999999333368585e-06
0.025641025641025002,0.0,0.9500000000000001,0.9500000000000001,1.0,39,40,[35],0,0.002,0.0004,0.01,0.0,1.999999333368585e-06
0.052631578947368,0.0,0.9,0.8989898989898991,1.0,38,40,"[1, 4]",0,0.002,0.0004,0.01,0.01,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0.0004,0.01,0.02,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.001,0.0,1.124999789103853e-06
0.025641025641025002,0.0,0.9500000000000001,0.9494949494949491,1.0,39,40,[21],0,0.004,0,0.001,0.01,1.124999789103853e-06
0.054054054054054,0.0,0.875,0.877551020408163,1.0,37,40,"[0, 11]",0,0.004,0,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.01,0.02,1.124999789103853e-06
0.025641025641025002,0.0,0.9500000000000001,0.9500000000000001,1.0,39,40,[27],0,0.004,0.0002,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0002,0,0.01,1.124999789103853e-06
0.052631578947368,0.0,0.9,0.897959183673469,1.0,38,40,"[15, 17]",0,0.004,0.0002,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0002,0.001,0.0,1.124999789103853e-06
0.025641025641025002,0.0,0.9500000000000001,0.9494949494949491,1.0,39,40,[22],0,0.004,0.0002,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0002,0.001,0.02,1.124999789103853e-06
0.025641025641025002,0.0,0.9500000000000001,0.9500000000000001,1.0,39,40,[1],0,0.004,0.0002,0.01,0.0,1.124999789103853e-06
0.025641025641025002,0.0,0.9500000000000001,0.9494949494949491,1.0,39,40,[20],0,0.004,0.0002,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0002,0.01,0.02,1.124999789103853e-06
0.054054054054054,0.0,0.875,0.875,1.0,37,40,"[7, 28]",0,0.004,0.0004,0,0.0,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0004,0,0.01,1.999999333368585e-06
0.025641025641025002,0.0,0.9500000000000001,0.9540816326530611,0.9956140350877191,39,40,[9],0,0.004,0.0004,0,0.02,1.999999333368585e-06
0.054054054054054,0.0,0.875,0.875,1.0,37,40,"[2, 3]",0,0.004,0.0004,0.001,0.0,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0004,0.001,0.01,1.999999333368585e-06
0.025641025641025002,0.0,0.9500000000000001,0.9540816326530611,1.0,39,40,[8],0,0.004,0.0004,0.001,0.02,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0.0004,0.01,0.0,1.999999333368585e-06
0.0,0.0,1.0,1.0,0.9958333333333331,40,40,[],0,0.004,0.0004,0.01,0.01,1.999999333368585e-06
0.025641025641025002,0.0,0.9500000000000001,0.9489795918367341,1.0,39,40,[5],0,0.004,0.0004,0.01,0.02,1.999999333368585e-06
