hit_res,multi_scatter,ghost_rate,drop_rate,epsilon,phi_range,theta_range,primary_vertices,event_count,ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics
0.0,0.0,0.01,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.974000914205075], [0, 0, 1.372485326219747], [0, 0, 1.215258194103697], [0, 0, 0.362835000725167]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.01,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.4918951893088561], [0, 0, -0.526756763269815], [0, 0, -0.014807852506499], [0, 0, -0.18403295774239903]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.01,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.167265393715489], [0, 0, 0.236623098923632], [0, 0, 0.7472001382315471], [0, 0, 2.277142341792681]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.01,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.10610681912428901], [0, 0, -0.8241420609852961], [0, 0, 0.737627286432578], [0, 0, 0.532280915002315]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.02,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.537951228133373], [0, 0, -0.475081311551501], [0, 0, -1.1436887586778681], [0, 0, -0.6713578626794441]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.02,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.067856376027303], [0, 0, -0.061999881276195004], [0, 0, 0.32391150656413903], [0, 0, 1.451717328947673]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.02,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.067196542282571], [0, 0, 1.451433115298201], [0, 0, 0.009775763785137], [0, 0, 0.811931205622283]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.02,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.050424388840072006], [0, 0, -0.803229008622177], [0, 0, -1.6243384989501441], [0, 0, -0.7353569252994061]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.04,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, -2.021291425718057], [0, 0, -0.040374402931391], [0, 0, -0.47481068548609806], [0, 0, 1.4244460097399632]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
0.0,0.0,0.04,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.6251380021588981], [0, 0, 1.6244370434765711], [0, 0, 0.29819870747222904], [0, 0, 0.8772806066081741]]",4,0.0,0.0,1.0,1.0,1.0,80,80,[],0
