Hit_res,efficency_err,mean,rms,n
0.0,0.0,0.17,0.01968501968502953,3
0.0,0.02,0.19982993197278867,0.04290638031137032,3
0.0,0.04,0.18142361111111102,0.018577200138049105,3
0.0,0.1,0.18055555555555536,0.03150870282809908,3
0.0006000000000000001,0.0,0.20000000000000004,0.030618621784789732,3
0.0006000000000000001,0.02,0.23724489795918302,0.03857583749052304,3
0.0006000000000000001,0.04,0.22135416666666632,0.015332918170708323,3
0.0006000000000000001,0.1,0.22222222222222202,0.03341040472716413,3
0.002,0.0,0.2041666666666667,0.011606990230986764,3
0.002,0.02,0.17602040816326467,0.009079148173496277,3
0.002,0.04,0.17621527777777768,0.010911289140604775,3
0.002,0.1,0.197222222222222,0.0090721842325302,3
0.004,0.0,0.21833333333333335,0.011242281302693367,3
0.004,0.02,0.18367346938775433,0.019090088708030375,3
0.004,0.04,0.194444444444444,0.017054585680892922,3
0.004,0.1,0.18518518518518468,0.006928995160692591,3
