Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0004,1.0,0.0,3
0.0,0.02,0.0004,1.0,0.0,3
0.0,0.04,0.0004,1.0,0.0,3
0.0,0.1,0.0004,1.0,0.0,3
0.0006000000000000001,0.0,0.0004,1.0,0.0,3
0.0006000000000000001,0.02,0.0004,0.9991666666666664,0.0011785113019780252,3
0.0006000000000000001,0.04,0.0004,1.0,0.0,3
0.0006000000000000001,0.1,0.0004,1.0,0.0,3
0.002,0.0,0.0004,1.0,0.0,3
0.002,0.02,0.0004,1.0,0.0,3
0.002,0.04,0.0004,1.0,0.0,3
0.002,0.1,0.0004,1.0,0.0,3
0.004,0.0,0.0004,1.0,0.0,3
0.004,0.02,0.0004,1.0,0.0,3
0.004,0.04,0.0004,1.0,0.0,3
0.004,0.1,0.0004,0.9989451476793247,0.001491786458199737,3
