Hit_res,efficency_err,mean,rms,n
0.0,0.0,0.9766666666666667,0.011242281302693356,3
0.0,0.02,0.9872448979591835,0.004165798882284276,3
0.0,0.04,0.9852430555555554,0.0032479664815745755,3
0.0,0.1,0.9833333333333331,0.006000685831858869,3
0.0006000000000000001,0.0,0.9725,0.019472202409246516,3
0.0006000000000000001,0.02,0.9897959183673465,0.0020828994411423193,3
0.0006000000000000001,0.04,0.981770833333333,0.011251285934735913,3
0.0006000000000000001,0.1,0.9759259259259258,0.018472164206722003,3
0.002,0.0,0.98,0.005400617248673204,3
0.002,0.02,0.9846938775510198,0.004165798882284276,3
0.002,0.04,0.9670138888888887,0.017317653943802143,3
0.002,0.1,0.9787037037037033,0.002618914004394402,3
0.004,0.0,0.9391666666666666,0.006561673228343172,3
0.004,0.02,0.934523809523809,0.017958088505053687,3
0.004,0.04,0.940972222222222,0.003247966481574655,3
0.004,0.1,0.9240740740740737,0.008586683792125892,3
