Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0006000000000000001,1.0,0.0,3
0.0,0.02,0.0006000000000000001,1.0,0.0,3
0.0,0.04,0.0006000000000000001,1.0,0.0,3
0.0,0.1,0.0006000000000000001,0.9987179487179487,0.001813094310734783,3
0.0006000000000000001,0.0,0.0006000000000000001,1.0,0.0,3
0.0006000000000000001,0.02,0.0006000000000000001,1.0,0.0,3
0.0006000000000000001,0.04,0.0006000000000000001,1.0,0.0,3
0.0006000000000000001,0.1,0.0006000000000000001,0.9988095238095237,0.0016835875742538357,3
0.002,0.0,0.0006000000000000001,1.0,0.0,3
0.002,0.02,0.0006000000000000001,1.0,0.0,3
0.002,0.04,0.0006000000000000001,0.9991830065359477,0.001155403237232969,3
0.002,0.1,0.0006000000000000001,1.0,0.0,3
0.004,0.0,0.0006000000000000001,1.0,0.0,3
0.004,0.02,0.0006000000000000001,1.0,0.0,3
0.004,0.04,0.0006000000000000001,1.0,0.0,3
0.004,0.1,0.0006000000000000001,1.0,0.0,3
