Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0006,0.9997939952605526,0.0009458123644696326,656
0.0,0.02,0.0006,0.999829677148907,0.0008218101533020588,653
0.0,0.04,0.0006,0.9998035207841107,0.0008769151936285204,650
0.0,0.1,0.0006,0.999797259778377,0.0009255398628311052,655
0.0006,0.0,0.0006,0.9998790865607383,0.000752682168386926,651
0.0006,0.02,0.0006,0.9998776574488307,0.0006611166270250627,651
0.0006,0.04,0.0006,0.9998346499327943,0.0007716377205004016,654
0.0006,0.1,0.0006,0.9998509594733238,0.0007554559825075613,649
0.002,0.0,0.0006,0.9998537553252624,0.0007450386452076283,653
0.002,0.02,0.0006,0.9998509886776773,0.0007143893606250483,654
0.002,0.04,0.0006,0.999818939197155,0.0008099083469235643,652
0.002,0.1,0.0006,0.9998123785110247,0.000833300888799589,649
0.004,0.0,0.0006,0.9997620118038709,0.0009631069176878715,653
0.004,0.02,0.0006,0.999828852395761,0.0008666288688998891,647
0.004,0.04,0.0006,0.9998545890162339,0.0008083357715906608,648
0.004,0.1,0.0006,0.9998138451236027,0.0008157392159573719,656
