Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon,phi_range,theta_range,primary_verticies,event_count,ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,metrics
0,0.0002,0.02,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.838276857130568]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0,0.0002,0.04,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.701147824845877]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0,0.0002,0.04,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.304075218169266]]",1,0.0,0.0,1.0,0.9777777777777771,1.0,10,10,[],0,
0,0.0002,0.04,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.5072245262287391]]",1,0.0,0.0,1.0,0.959183673469387,1.0,10,10,[],0,
0,0.0002,0.04,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.03507898666529]]",1,0.0,0.0,1.0,0.9791666666666661,1.0,10,10,[],0,
0,0.0004,0.01,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.135095242551683]]",1,0.0,0.0,1.0,0.78,1.0,10,10,[],0,
0,0.0004,0.01,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, -1.3727814797189861]]",1,0.0,0.0,1.0,0.7555555555555551,1.0,10,10,[],0,
0,0.0004,0.01,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.143509278667071]]",1,0.0,0.0,1.0,0.8571428571428571,1.0,10,10,[],0,
0,0.0004,0.01,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.7564641881051271]]",1,0.0,0.0,1.0,0.8125,1.0,10,10,[],0,
0,0.0004,0.02,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, -2.157466884281988]]",1,0.0,0.0,1.0,0.8200000000000001,1.0,10,10,[],0,
0,0.0004,0.02,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 1.320968474563288]]",1,0.0,0.0,1.0,0.8222222222222221,1.0,10,10,[],0,
0,0.0004,0.02,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.27671355207895404]]",1,0.0,0.0,1.0,0.7755102040816321,1.0,10,10,[],0,
