Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0002,0.9998241988440851,0.0008092665046979016,440
0.0,0.02,0.0002,0.9998379345522204,0.0006905498534018822,420
0.0,0.04,0.0002,0.9997007391818171,0.000981241518278654,436
0.0,0.1,0.0002,0.999565971392566,0.001098630291880871,439
0.0006,0.0,0.0002,0.9998231558368232,0.0007880151371700116,439
0.0006,0.02,0.0002,0.9998116957303199,0.0007319324606256717,447
0.0006,0.04,0.0002,0.9996598010744215,0.0010307478459331018,448
0.0006,0.1,0.0002,0.9995724648305563,0.0010231718274508333,448
0.002,0.0,0.0002,0.9998447732822732,0.0007232199280072661,472
0.002,0.02,0.0002,0.9997482536609998,0.0008639750361601632,457
0.002,0.04,0.0002,0.9997048475116195,0.0009474283833562379,491
0.002,0.1,0.0002,0.9995683811990228,0.0011059004998007504,504
0.004,0.0,0.0002,0.9998998679109111,0.0005356999842187028,532
0.004,0.02,0.0002,0.9998003726003943,0.0007830372043490432,547
0.004,0.04,0.0002,0.9997584429839914,0.0008233849646028732,547
0.004,0.1,0.0002,0.9996308522028898,0.0010134461382990492,537
