Hit_res,efficency_err,mean,rms,n
0.0,0.0,0.9899999999999999,0.004082482904638634,3
0.0,0.02,0.9897959183673465,0.007215375318230268,3
0.0,0.04,0.9861111111111107,0.006495932963149151,3
0.0,0.1,0.9851851851851844,0.00523782800878917,3
0.0006000000000000001,0.0,0.9916666666666667,0.0023570226039551605,3
0.0006000000000000001,0.02,0.9846938775510198,0.004165798882284276,3
0.0006000000000000001,0.04,0.987847222222222,0.004910463758239635,3
0.0006000000000000001,0.1,0.9888888888888884,0.009072184232530575,3
0.002,0.0,0.975,0.010801234497346443,3
0.002,0.02,0.9676870748299313,0.02440935390205288,3
0.002,0.04,0.986111111111111,0.0024552318791198173,3
0.002,0.1,0.9851851851851846,0.0026189140043943494,3
0.004,0.0,0.9183333333333333,0.037932688922470176,3
0.004,0.02,0.926870748299319,0.018784627580250537,3
0.004,0.04,0.9392361111111107,0.006495932963149151,3
0.004,0.1,0.9462962962962957,0.013094570021973213,3
