Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0006,0.5403048780487805,0.03261270384090219,656
0.0,0.02,0.0006,0.5428477669781542,0.03408224705930255,653
0.0,0.04,0.0006,0.5399639423076923,0.03331378310782198,650
0.0,0.1,0.0006,0.5441051738761663,0.03239930956359042,655
0.0006,0.0,0.0006,0.5406643625192012,0.03364176992797813,651
0.0006,0.02,0.0006,0.5424112041129816,0.03267275657376374,651
0.0006,0.04,0.0006,0.5413282046381244,0.033076724748713426,654
0.0006,0.1,0.0006,0.5441491183016607,0.03260920647030786,649
0.002,0.0,0.0006,0.5355513016845329,0.032973236894363815,653
0.002,0.02,0.0006,0.5339980028708732,0.032851242595287225,654
0.002,0.04,0.0006,0.5356674974437627,0.03433251975392088,652
0.002,0.1,0.0006,0.5359056668378702,0.03298238214047426,649
0.004,0.0,0.0006,0.5119640122511485,0.034145943960526844,653
0.004,0.02,0.0006,0.5114342491246885,0.03444633845674995,647
0.004,0.04,0.0006,0.5124381108539094,0.03498863273524742,648
0.004,0.1,0.0006,0.5133849932249323,0.03566626754582488,656
