Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.001,0.9998342059585867,0.0012319558333370006,650
0.0,0.02,0.001,0.9997605568144,0.0014072063406423238,644
0.0,0.04,0.001,0.9998475135079581,0.0010809017346485145,648
0.0,0.1,0.001,0.9998543381516853,0.0010748091986941494,652
0.0006,0.0,0.001,0.9997883625379277,0.0014699202226940889,647
0.0006,0.02,0.001,0.9998659762867668,0.0013354786956729558,644
0.0006,0.04,0.001,0.9998018804013988,0.0012459130873189346,651
0.0006,0.1,0.001,0.9998053341467044,0.001410698075531578,648
0.002,0.0,0.001,0.9998536569200082,0.0011236189059297904,649
0.002,0.02,0.001,0.9997835430234636,0.0013116846753214702,652
0.002,0.04,0.001,0.9998458336687672,0.0011092429968274015,654
0.002,0.1,0.001,0.9999275933520945,0.0008336886546105894,647
0.004,0.0,0.001,0.9998473446354045,0.001131483038683334,645
0.004,0.02,0.001,0.999746842090208,0.0014563758733380108,655
0.004,0.04,0.001,0.9997975596239645,0.0012936539466773273,647
0.004,0.1,0.001,0.9998712571607545,0.0009989971870349827,650
