Hit_res,Multi_scatter,mean,rms,n
0.0,0.0,0.9844354838709678,0.016579593916718476,155
0.0,0.0002,0.9833636363636363,0.012747265141787928,440
0.0,0.0004,0.7858530805687204,0.020482984750415843,633
0.0,0.0006,0.5403048780487805,0.03261270384090219,656
0.0,0.0008,0.33551617873651773,0.03446212454166037,649
0.0,0.001,0.2076769230769231,0.03278348913345426,650
0.0006,0.0,0.9850155279503106,0.01744667317414676,161
0.0006,0.0002,0.9825227790432801,0.013447550370076116,439
0.0006,0.0004,0.7851629570747218,0.020318002343651588,629
0.0006,0.0006,0.5406643625192012,0.03364176992797813,651
0.0006,0.0008,0.3358986175115207,0.034692511681230574,651
0.0006,0.001,0.2096483771251932,0.03397940679644059,647
0.002,0.0,0.9866721854304636,0.015737188246297065,151
0.002,0.0002,0.9740942796610169,0.01381199848043305,472
0.002,0.0004,0.7744991987179487,0.021351088724993923,624
0.002,0.0006,0.5355513016845329,0.032973236894363815,653
0.002,0.0008,0.330920245398773,0.034376520663759944,652
0.002,0.001,0.20621340523882897,0.03221803592383553,649
0.004,0.0,0.9894485294117648,0.012347939726303707,340
0.004,0.0002,0.936156015037594,0.016214988352692986,532
0.004,0.0004,0.7446517996870109,0.023629617083025085,639
0.004,0.0006,0.5119640122511485,0.034145943960526844,653
0.004,0.0008,0.32142857142857145,0.03577134499684344,658
0.004,0.001,0.20131007751937985,0.02970541371315942,645
