Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0,0.9844354838709678,0.016579593916718476,155
0.0,0.02,0.0,0.9879584701013272,0.015633846975084135,143
0.0,0.04,0.0,0.9880294659300185,0.015684306104969657,181
0.0,0.1,0.0,0.9898867313915857,0.015333962438687643,206
0.0006,0.0,0.0,0.9850155279503106,0.01744667317414676,161
0.0006,0.02,0.0,0.9884541478929234,0.014835615711977973,154
0.0006,0.04,0.0,0.9872905344202899,0.016636486166006142,184
0.0006,0.1,0.0,0.9898055555555555,0.015051634380719735,200
0.002,0.0,0.0,0.9866721854304636,0.015737188246297065,151
0.002,0.02,0.0,0.9877964699393271,0.015827388965473737,148
0.002,0.04,0.0,0.9883544007490638,0.013568704818529431,178
0.002,0.1,0.0,0.9899206349206349,0.015104267936081571,210
0.004,0.0,0.0,0.9894485294117648,0.012347939726303707,340
0.004,0.02,0.0,0.9903805272108844,0.011726103293539318,336
0.004,0.04,0.0,0.9901938056379822,0.011708640401226227,337
0.004,0.1,0.0,0.9898393751842027,0.012655085857628116,377
