Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0004,0.9998295802454346,0.0007498654026421149,633
0.0,0.02,0.0004,0.999843425101021,0.0007015197304527746,632
0.0,0.04,0.0004,0.9997875525724677,0.0008282680233194621,633
0.0,0.1,0.0004,0.9998194037949683,0.0007355040878506659,626
0.0006,0.0,0.0004,0.9998810630311934,0.0006224261483334519,629
0.0006,0.02,0.0004,0.9998641525082679,0.0006352386676036033,623
0.0006,0.04,0.0004,0.9997649905691758,0.0009173213989002619,618
0.0006,0.1,0.0004,0.9997236988390755,0.0008688458167567671,628
0.002,0.0,0.0004,0.9998561277779743,0.0006875067878747454,624
0.002,0.02,0.0004,0.9998326057971527,0.0007408616424275084,634
0.002,0.04,0.0004,0.9998509312897548,0.0007168546603477085,633
0.002,0.1,0.0004,0.9997439233351175,0.000882077613293776,634
0.004,0.0,0.0004,0.9998835793261531,0.0006364129502587204,639
0.004,0.02,0.0004,0.9998365998407024,0.0007649257342150988,638
0.004,0.04,0.0004,0.9998021513658705,0.0008306908435044596,643
0.004,0.1,0.0004,0.9997887625881794,0.0007956248866774996,642
