Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0008,0.9998380908875946,0.0009836828706529354,649
0.0,0.02,0.0008,0.999836506478293,0.0009945402196746478,652
0.0,0.04,0.0008,0.9998685081536567,0.0008174768188455306,655
0.0,0.1,0.0008,0.9998678353432624,0.0007975148814992315,647
0.0006,0.0,0.0008,0.999886211866665,0.0007756290398027796,651
0.0006,0.02,0.0008,0.9997895716502856,0.0011555349489798987,649
0.0006,0.04,0.0008,0.9998472885366788,0.0008997863417088944,653
0.0006,0.1,0.0008,0.9997850836542479,0.001062808518591379,653
0.002,0.0,0.0008,0.999826844378855,0.0009701367279754653,652
0.002,0.02,0.0008,0.9998406419166365,0.000976972330893796,647
0.002,0.04,0.0008,0.9998846364841423,0.0007324065155776504,649
0.002,0.1,0.0008,0.9997629593774349,0.0011049832251803894,654
0.004,0.0,0.0008,0.9997713937189814,0.0011997163719658151,658
0.004,0.02,0.0008,0.9998456855087738,0.0009032773281833105,652
0.004,0.04,0.0008,0.9998682284227025,0.0008381738100001044,644
0.004,0.1,0.0008,0.9998416767221714,0.0008962190360057322,651
