Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0004,0.7858530805687204,0.020482984750415843,633
0.0,0.02,0.0004,0.784963510720744,0.021369707620859768,632
0.0,0.04,0.0004,0.7842779094260137,0.022185210361040212,633
0.0,0.1,0.0004,0.7846734114306,0.021853725746884708,626
0.0006,0.0,0.0004,0.7851629570747218,0.020318002343651588,629
0.0006,0.02,0.0004,0.7847151701772201,0.02110527016465527,623
0.0006,0.04,0.0004,0.7851098975188782,0.023124593085204165,618
0.0006,0.1,0.0004,0.7855184005661713,0.0209076310347532,628
0.002,0.0,0.0004,0.7744991987179487,0.021351088724993923,624
0.002,0.02,0.0004,0.7763189660722333,0.02174530835891807,634
0.002,0.04,0.0004,0.7770948525539758,0.020292116895886312,633
0.002,0.1,0.0004,0.7751971608832808,0.022828386557452233,634
0.004,0.0,0.0004,0.7446517996870109,0.023629617083025085,639
0.004,0.02,0.0004,0.7418111445205041,0.023050490492979397,638
0.004,0.04,0.0004,0.7445608151892172,0.02276012017013706,643
0.004,0.1,0.0004,0.7450501903772931,0.02421249935978109,642
