Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0008,0.33551617873651773,0.03446212454166037,649
0.0,0.02,0.0008,0.3376385063227745,0.035150210580268335,652
0.0,0.04,0.0008,0.33544847328244276,0.03693429972009416,655
0.0,0.1,0.0008,0.33774686587669583,0.03515213669184752,647
0.0006,0.0,0.0008,0.3358986175115207,0.034692511681230574,651
0.0006,0.02,0.0008,0.33360979214490105,0.03490136935728655,649
0.0006,0.04,0.0008,0.33515983920367537,0.03594348855257733,653
0.0006,0.1,0.0008,0.3365237366003062,0.036594387757858615,653
0.002,0.0,0.0008,0.330920245398773,0.034376520663759944,652
0.002,0.02,0.0008,0.331447339368514,0.035258454580331944,647
0.002,0.04,0.0008,0.33282774781715463,0.036824723895355814,649
0.002,0.1,0.0008,0.329175161399932,0.03639611094623448,654
0.004,0.0,0.0008,0.32142857142857145,0.03577134499684344,658
0.004,0.02,0.0008,0.31856062977338173,0.035290740897534215,652
0.004,0.04,0.0008,0.3218127264492754,0.03547653350890915,644
0.004,0.1,0.0008,0.32201314217443244,0.034872870297519294,651
