Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0,0.9995688451333612,0.0012708729402700378,155
0.0,0.0,0.0002,0.9998241988440851,0.0008092665046979016,440
0.0,0.0,0.0004,0.9998295802454346,0.0007498654026421149,633
0.0,0.0,0.0006,0.9997939952605526,0.0009458123644696326,656
0.0,0.0,0.0008,0.9998380908875946,0.0009836828706529354,649
0.0,0.0,0.001,0.9998342059585867,0.0012319558333370006,650
0.0,0.02,0.0,0.9992569871087077,0.001497880446715466,143
0.0,0.02,0.0002,0.9998379345522204,0.0006905498534018822,420
0.0,0.02,0.0004,0.999843425101021,0.0007015197304527746,632
0.0,0.02,0.0006,0.999829677148907,0.0008218101533020588,653
0.0,0.02,0.0008,0.999836506478293,0.0009945402196746478,652
0.0,0.02,0.001,0.9997605568144,0.0014072063406423238,644
0.0,0.04,0.0,0.9989821803426776,0.0016929406777643021,181
0.0,0.04,0.0002,0.9997007391818171,0.000981241518278654,436
0.0,0.04,0.0004,0.9997875525724677,0.0008282680233194621,633
0.0,0.04,0.0006,0.9998035207841107,0.0008769151936285204,650
0.0,0.04,0.0008,0.9998685081536567,0.0008174768188455306,655
0.0,0.04,0.001,0.9998475135079581,0.0010809017346485145,648
0.0,0.1,0.0,0.9987107127029703,0.0016898096100781293,206
0.0,0.1,0.0002,0.999565971392566,0.001098630291880871,439
0.0,0.1,0.0004,0.9998194037949683,0.0007355040878506659,626
0.0,0.1,0.0006,0.999797259778377,0.0009255398628311052,655
0.0,0.1,0.0008,0.9998678353432624,0.0007975148814992315,647
0.0,0.1,0.001,0.9998543381516853,0.0010748091986941494,652
0.0006,0.0,0.0,0.9993128550193767,0.0015740019986633235,161
0.0006,0.0,0.0002,0.9998231558368232,0.0007880151371700116,439
0.0006,0.0,0.0004,0.9998810630311934,0.0006224261483334519,629
0.0006,0.0,0.0006,0.9998790865607383,0.000752682168386926,651
0.0006,0.0,0.0008,0.999886211866665,0.0007756290398027796,651
0.0006,0.0,0.001,0.9997883625379277,0.0014699202226940889,647
0.0006,0.02,0.0,0.9991283716283715,0.001653989276891027,154
0.0006,0.02,0.0002,0.9998116957303199,0.0007319324606256717,447
0.0006,0.02,0.0004,0.9998641525082679,0.0006352386676036033,623
0.0006,0.02,0.0006,0.9998776574488307,0.0006611166270250627,651
0.0006,0.02,0.0008,0.9997895716502856,0.0011555349489798987,649
0.0006,0.02,0.001,0.9998659762867668,0.0013354786956729558,644
0.0006,0.04,0.0,0.9989770516120988,0.001767556534609478,184
0.0006,0.04,0.0002,0.9996598010744215,0.0010307478459331018,448
0.0006,0.04,0.0004,0.9997649905691758,0.0009173213989002619,618
0.0006,0.04,0.0006,0.9998346499327943,0.0007716377205004016,654
0.0006,0.04,0.0008,0.9998472885366788,0.0008997863417088944,653
0.0006,0.04,0.001,0.9998018804013988,0.0012459130873189346,651
0.0006,0.1,0.0,0.9986951902264403,0.0017609387842124349,200
0.0006,0.1,0.0002,0.9995724648305563,0.0010231718274508333,448
0.0006,0.1,0.0004,0.9997236988390755,0.0008688458167567671,628
0.0006,0.1,0.0006,0.9998509594733238,0.0007554559825075613,649
0.0006,0.1,0.0008,0.9997850836542479,0.001062808518591379,653
0.0006,0.1,0.001,0.9998053341467044,0.001410698075531578,648
0.002,0.0,0.0,0.9994060253580122,0.0014870584384691283,151
0.002,0.0,0.0002,0.9998447732822732,0.0007232199280072661,472
0.002,0.0,0.0004,0.9998561277779743,0.0006875067878747454,624
0.002,0.0,0.0006,0.9998537553252624,0.0007450386452076283,653
0.002,0.0,0.0008,0.999826844378855,0.0009701367279754653,652
0.002,0.0,0.001,0.9998536569200082,0.0011236189059297904,649
0.002,0.02,0.0,0.999339989027489,0.0013732779525163525,148
0.002,0.02,0.0002,0.9997482536609998,0.0008639750361601632,457
0.002,0.02,0.0004,0.9998326057971527,0.0007408616424275084,634
0.002,0.02,0.0006,0.9998509886776773,0.0007143893606250483,654
0.002,0.02,0.0008,0.9998406419166365,0.000976972330893796,647
0.002,0.02,0.001,0.9997835430234636,0.0013116846753214702,652
0.002,0.04,0.0,0.9991258222894459,0.0016244869565079298,178
0.002,0.04,0.0002,0.9997048475116195,0.0009474283833562379,491
0.002,0.04,0.0004,0.9998509312897548,0.0007168546603477085,633
0.002,0.04,0.0006,0.999818939197155,0.0008099083469235643,652
0.002,0.04,0.0008,0.9998846364841423,0.0007324065155776504,649
0.002,0.04,0.001,0.9998458336687672,0.0011092429968274015,654
0.002,0.1,0.0,0.9987330495041021,0.0017251302998495836,210
0.002,0.1,0.0002,0.9995683811990228,0.0011059004998007504,504
0.002,0.1,0.0004,0.9997439233351175,0.000882077613293776,634
0.002,0.1,0.0006,0.9998123785110247,0.000833300888799589,649
0.002,0.1,0.0008,0.9997629593774349,0.0011049832251803894,654
0.002,0.1,0.001,0.9999275933520945,0.0008336886546105894,647
0.004,0.0,0.0,0.999797794117647,0.0008439660128317393,340
0.004,0.0,0.0002,0.9998998679109111,0.0005356999842187028,532
0.004,0.0,0.0004,0.9998835793261531,0.0006364129502587204,639
0.004,0.0,0.0006,0.9997620118038709,0.0009631069176878715,653
0.004,0.0,0.0008,0.9997713937189814,0.0011997163719658151,658
0.004,0.0,0.001,0.9998473446354045,0.001131483038683334,645
0.004,0.02,0.0,0.99972123280159,0.0009136048660378726,336
0.004,0.02,0.0002,0.9998003726003943,0.0007830372043490432,547
0.004,0.02,0.0004,0.9998365998407024,0.0007649257342150988,638
0.004,0.02,0.0006,0.999828852395761,0.0008666288688998891,647
0.004,0.02,0.0008,0.9998456855087738,0.0009032773281833105,652
0.004,0.02,0.001,0.999746842090208,0.0014563758733380108,655
0.004,0.04,0.0,0.9996370502231036,0.0010163511070910044,337
0.004,0.04,0.0002,0.9997584429839914,0.0008233849646028732,547
0.004,0.04,0.0004,0.9998021513658705,0.0008306908435044596,643
0.004,0.04,0.0006,0.9998545890162339,0.0008083357715906608,648
0.004,0.04,0.0008,0.9998682284227025,0.0008381738100001044,644
0.004,0.04,0.001,0.9997975596239645,0.0012936539466773273,647
0.004,0.1,0.0,0.9993450311186454,0.0013356914030626982,377
0.004,0.1,0.0002,0.9996308522028898,0.0010134461382990492,537
0.004,0.1,0.0004,0.9997887625881794,0.0007956248866774996,642
0.004,0.1,0.0006,0.9998138451236027,0.0008157392159573719,656
0.004,0.1,0.0008,0.9998416767221714,0.0008962190360057322,651
0.004,0.1,0.001,0.9998712571607545,0.0009989971870349827,650
